# French Female First Names - INSEE 2020-2024
# Format: Name|Weight (100 = most common)
Emma|100
Jade|98
Louise|96
Ambre|94
Alice|92
Léa|90
Rose|88
Anna|86
Mia|84
Chloé|82
Lina|80
Mila|78
Julia|76
Inès|74
Léonie|72
Romy|70
Zoé|68
Agathe|66
Juliette|64
Lou|62
Manon|60
Charlotte|58
Camille|56
Victoire|54
Iris|52
Éléonore|50
Margot|48
Jeanne|46
Adèle|44
Nina|42
Clara|40
Sarah|38
Romane|36
Lucie|34
Mathilde|32
Eva|30
Lola|28
Nora|26
Clémence|24
Valentine|22
Constance|20
Capucine|18
Élise|16
Margaux|14
Anaïs|12
Océane|10
Marie|8
Pauline|6
Laura|4
Julie|2
Marine|100
Céline|98
Aurélie|96
Stéphanie|94
Émilie|92
Nathalie|90
Sandrine|88
Valérie|86
Isabelle|84
Catherine|82
Christine|80
Sylvie|78
Françoise|76
Monique|74
Martine|72
Brigitte|70
Colette|68
Jacqueline|66
Simone|64
Jeannine|62
Yvonne|60
Germaine|58
Madeleine|56
Henriette|54
Georgette|52
Suzanne|50
Lucienne|48
Denise|46
Renée|44
Paulette|42
Marcelle|40
Yvette|38
Odette|36
Ginette|34
Andrée|32
Raymonde|30
Thérèse|28
Augustine|26
Blanche|24
Clothilde|22
Ernestine|20
Euphémie|18
Félicie|16
Gertrude|14
Honorine|12
Irène|10
Joséphine|8
Léontine|6
Marcelline|4
Noélie|2
Olympe|100
Pélagie|98
Rosalie|96
Sidonie|94
Ursule|92
Victorine|90
Zéphyrine|88
Adélaïde|86
Bernadette|84
Célesline|82
Dorothée|80
Eulalie|78
Fortunée|76
Herminie|74
Ismérie|72
Justine|70
Léocadie|68
Mathilde|66
Philomène|64
Radegonde|62
Scholastique|60
Thaïs|58
Véronique|56
Apolline|54
Bérénice|52
Clotilde|50
Delphine|48
Eugénie|46
Flore|44
Gabrielle|42
Hélène|40
Iphigénie|38
Josépha|36
Laure|34
Maximilienne|32
Nathanaëlle|30
Octavie|28
Perpétue|26
Régine|24
Séraphine|22
Théodora|20
Uranie|18
Virginie|16
Wilhelmine|14
Xénia|12
Yolande|10
Zélie|8
Albane|6
Brunehilde|4
Cunégonde|2
Désirée|100
Élisabeth|98
Fridoline|96
Geneviève|94
Hildegarde|92
Isoline|90
Josette|88
Laurence|86
Micheline|84
Nicolette|82
Odile|80
Pascale|78
Roberte|76
Solange|74
Tryphène|72
Urseline|70
Viviane|68
Wanda|66
Xavière|64
Yseult|62
Zita|60
Alberte|58
Berthe|56
Cunégonde|54
Domitille|52
Éléonore|50
Framboise|48
Ghislaine|46
Hermine|44
Inès|42
Josiane|40
Ludivine|38
Mireille|36
Nadège|34
Ophélie|32
Prisca|30
Roxane|28
Sabine|26
Tatiana|24
Urbaine|22
Violette|20
Ximena|18
Yvette|16
Zohra|14
Aïcha|12
Badia|10
Chaïma|8
Dalila|6
Fadila|4
Ghizlane|2
Habiba|100
Imane|98
Jamila|96
Karima|94
Latifa|92
Malika|90
Nadia|88
Ouarda|86
Rachida|84
Saïda|82
Tassadit|80
Wafa|78
Yasmina|76
Zahia|74
Amina|72
Bouchra|70
Djamila|68
Fatiha|66
Hadjira|64
Ikram|62
Kenza|60
Leila|58
Meriem|56
Nabila|54
Rania|52
Samira|50
Touria|48
Wissam|46
Yasmine|44
Zineb|42
Assia|40
Besma|38
Chiraz|36
Dorra|34
Emna|32
Feriel|30
Ghada|28
Hana|26
Imen|24
Jihane|22
Khaoula|20
Lamia|18
Maroua|16
Nour|14
Rihab|12
Sirine|10
Tesnim|8
Wiem|6
Yosra|4
Zahra|2
Aya|100
Fatoumata|98
Kadiatou|96
Mariame|94
Oumou|92
Aminata|90
Coumba|88
Diariatou|86
Fanta|84
Hawa|82
Jeneba|80
Khady|78
Mame|76
Ndeye|74
Rama|72
Seynabou|70
Thiaba|68
Yacine|66
Aïssata|64
Bintou|62
Dieynaba|60
Fatouma|58
Gnagna|56
Hadja|54
Inna|52
Kiné|50
Maguette|48
Ndèye|46
Penda|44
Rokhaya|42
Sokhna|40
Tacko|38
Yaye|36
Adja|34
Diary|32
Fatim|30
Gnilane|28
Madjiguène|26
