# French Male First Names - INSEE 2020-2024
# Format: Name|Weight (100 = most common)
Gabriel|100
Léo|98
Raphaël|96
Louis|94
Maël|92
Noah|90
Jules|88
Adam|86
Arthur|84
Lucas|82
Hugo|80
Liam|78
Nathan|76
Ethan|74
Paul|72
Sacha|70
Gabin|68
Théo|66
Tom|64
Aaron|62
Nolan|60
Enzo|58
Mathis|56
Timéo|54
Antoine|52
Maxime|50
Alexandre|48
Victor|46
Mathéo|44
Baptiste|42
Clément|40
Axel|38
Robin|36
Simon|34
Léon|32
Oscar|30
Romain|28
Valentin|26
Samuel|24
Martin|22
Tristan|20
Evan|18
Adrien|16
Pierre|14
Quentin|12
Dylan|10
Alexis|8
Benjamin|6
Julien|4
Thomas|2
Mathieu|100
Nicolas|98
Guillaume|96
Sébastien|94
David|92
Christophe|90
Jérôme|88
Laurent|86
Olivier|84
Frédéric|82
Philippe|80
Stéphane|78
Éric|76
François|74
Patrick|72
Michel|70
Jean|68
Bernard|66
Daniel|64
Jacques|62
Alain|60
Christian|58
Marc|56
Claude|54
Gérard|52
Robert|50
Marcel|48
René|46
André|44
Maurice|42
Charles|40
Henri|38
Émile|36
Raymond|34
Albert|32
Joseph|30
Léopold|28
Augustin|26
Édouard|24
Ferdinand|22
Gustave|20
Hippolyte|18
Isidore|16
Jules|14
Lucien|12
Marius|10
Narcisse|8
Octave|6
Prosper|4
Théodore|2
Urbain|100
Victorien|98
Zacharie|96
Anatole|94
Barnabé|92
Célestin|90
Donatien|88
Eugène|86
Fabien|84
Gaston|82
Honoré|80
Innocent|78
Juste|76
Kléber|74
Lazare|72
Médéric|70
Norbert|68
Onésime|66
Parfait|64
Quentin|62
Raoul|60
Stanislas|58
Toussaint|56
Valère|54
Wenceslas|52
Xavier|50
Yves|48
Zéphirin|46
Achille|44
Amédée|42
Aristide|40
Basile|38
Camille|36
Désiré|34
Émilien|32
Félicien|30
Gaspard|28
Hector|26
Ignace|24
Joachim|22
Léandre|20
Maximin|18
Népomucène|16
Ovide|14
Philémon|12
Rémi|10
Saturnin|8
Télesphore|6
Ulysse|4
Vianney|2
Wilfried|100
Zénon|98
Adémar|96
Bertrand|94
Conrad|92
Dagobert|90
Eudes|88
Firmin|86
Geoffroy|84
Hardouin|82
Ildephonse|80
Josse|78
Lambert|76
Mérovée|74
Nicéphore|72
Odilon|70
Pépin|68
Radegonde|66
Sigebert|64
Tancrède|62
Valdemar|60
Wandrille|58
Arnaud|56
Bruno|54
Côme|52
Damien|50
Élie|48
Florian|46
Grégoire|44
Hugues|42
Igor|40
Joël|38
Kevin|36
Loïc|34
Morgan|32
Nathanaël|30
Owen|28
Pierrick|26
Ronan|24
Swann|22
Tanguy|20
Ugo|18
Vincent|16
William|14
Yoann|12
Aymeric|10
Briac|8
Corentin|6
Dorian|4
Erwann|2
Fabrice|100
Gwenaël|98
Hervé|96
Ivan|94
Josselin|92
Killian|90
Lionel|88
Mickaël|86
Nelson|84
Olivier|82
Pascal|80
Régis|78
Sylvain|76
Thierry|74
Ulrich|72
Vivien|70
Warren|68
Yannick|66
Zackary|64
Alan|62
Brendan|60
Cédric|58
Denis|56
Emmanuel|54
Fabien|52
Gaël|50
Hadrien|48
Ismaël|46
Johan|44
Kévin|42
Ludovic|40
Mehdi|38
Noé|36
Olivier|34
Patrice|32
Raphaël|30
Samy|28
Thibault|26
Ugo|24
Valentin|22
Wesley|20
Yvan|18
Zinédine|16
Adama|14
Bakary|12
Cheikh|10
Demba|8
Elhadj|6
Fodé|4
Gorgui|2
Habib|100
Ibrahima|98
Kalidou|96
Lamine|94
Mamadou|92
Ndiaye|90
Oumar|88
Pape|86
Sadio|84
Tidiane|82
Youssouf|80
Abdou|78
Boubacar|76
Daouda|74
Fallou|72
Hamidou|70
Idrissa|68
Khadim|66
Modou|64
Ngagne|62
Omar|60
Saliou|58
Thierno|56
Abdoulaye|54
Baye|52
Djibril|50
El Hadji|48
Souleymane|46
Issa|44
Amadou|42
Moussa|40
Seydou|38
Aliou|36
Babacar|34
Cheikhou|32
Diallo|30
Mamoudou|28
Samba|26
Youssoupha|24
Malick|22
Ndongo|20
Papis|18
Serigne|16
Mbaye|14
Abdourahmane|12
Birima|10
Diagne|8
Faye|6
Gueye|4
Niang|2
Sow|100
Thiam|98
Wade|96
Waly|94
Ablaye|92
Biram|90
Coumba|88
Dieye|86
Gnagna|84
Hann|82
Kaolack|80
Louga|78
Matam|76
Ndioum|74
Pikine|72
Rufisque|70
Tambacounda|68
Vélingara|66
Ziguinchor|64
Edmond|62
Fernand|60
Gilbert|58
Hubert|56
Irénée|54
Jérémie|52
Kévin|50
Luc|48
Matthieu|46
Noël|44
Olivier|42
Philippe|40
Quentin|38
Rémy|36
Serge|34
Thibaut|32
Urbain|30
Victorien|28
Xavier|26
Yann|24
Zachary|22
Alfred|20
Benoît|18
Conrad|16
Didier|14
Ernest|12
Ferdinand|10
Gontran|8
Hilaire|6
Isidore|4
Jude|2
Kylian|100
Léonard|98
Médard|96
Nicodème|94
Oger|92
Placide|90
Quintilien|88
Rodolphe|86
Séverin|84
Théophile|82
Urbain|80
Venceslas|78
Wulfran|76
Xénophon|74
Ysidore|72
Zéphyr|70
Ayoub|68
Bilal|66
Chakib|64
Driss|62
Elyas|60
Farouk|58
Ghani|56
Hamza|54
Ilyes|52
Jamal|50
Karim|48
Lotfi|46
Mehdi|44
Nabil|42
Othmane|40
Rachid|38
Samir|36
Tarik|34
Walid|32
Yacine|30
Zakaria|28
Amir|26
Brahim|24
Chérif|22
Djamel|20
Farid|18
Hakim|16
Imed|14
Jaouad|12
Khalid|10
Larbi|8
Moncef|6
Nassim|4
Redouane|2
Sofiane|100
Toufik|98
Wahid|96
Younès|94
Zaki|92
Amine|90
Bader|88
Chouaib|86
Djilali|84
Fouad|82
Hicham|80
Ismail|78
Jalil|76
Kamel|74
Lahcen|72
Miloud|70
Nadir|68
Rachid|66
Salim|64
Taoufik|62
Yassine|60
Zohir|58
Adel|56
Badis|54
Chafik|52
Djaafar|50
Fares|48
Hocine|46
Idir|44
Jugurtha|42
Kaci|40
Lyès|38
Malek|36
Naïm|34
Rabah|32
Slimane|30
Tayeb|28
Yanis|26
Zine|24
Akram|22
Billel|20
Chakib|18
Dris|16
Faycal|14
Ghiles|12
Hamid|10
Idris|8
Juba|6
Koceila|4
Massinissa|2
Nacer|100
Rafik|98
Sami|96
Tahar|94
Walid|92
Yazid|90
Abdel|88
Brahim|86
Cherif|84
Djamal|82
Essaid|80
Fayçal|78
Ghanem|76
Hassan|74
Ibrahim|72
Jamel|70
Khaled|68
Lahbib|66
Mohamed|64
Noureddine|62
Omar|60
Rachid|58
Said|56
Tarek|54
Wahab|52
Youcef|50
Ziad|48
Anas|46
Bilel|44
Chahine|42
Djallel|40
Faysal|38
Ghaouti|36
Halim|34
Issam|32
Jilali|30
Kaddour|28
Lakhdar|26
Messaoud|24
Nadir|22
Rafik|20
Saddek|18
Tarik|16
Wassim|14
Yacine|12
Zoheir|10
Abed|8
Bouzid|6
Chafiq|4
Djelloul|2
